question_text,question_type,correct_answer,category,difficulty,options,level_required
What is phishing?,multiple_choice,A type of cyber attack,phishing,easy,"A type of cyber attack,A legitimate email verification method,A network monitoring technique,A data encryption process",1
What is the main goal of cybersecurity?,multiple_choice,To protect information systems from threats,general,easy,"To protect information systems from threats,To improve system performance,To manage user accounts,To monitor internet traffic",1
Which of the following is essential for network security?,multiple_choice,Firewall,network security,easy,"Firewall,Intrusion detection system,Network switch,Traffic analyzer",1
Which of the following is a best practice for email security?,multiple_choice,Be cautious with email attachments,phishing,easy,"Be cautious with email attachments,Open attachments from known brands,Trust emails with logos,Disable email filtering",1
Which of the following helps protect against malware?,multiple_choice,Keeping software updated,malware,easy,"Keeping software updated,Using older stable software,Disabling unused features,Relying on default settings",1
Which of the following helps protect against unauthorized access?,multiple_choice,Multi-factor authentication,authentication,easy,"Multi-factor authentication,Single strong password,Username-only login,Network monitoring",1
Ransomware encrypts files and demands payment.,true_false,True,malware,easy,,1
Strong passwords should be at least 8 characters long.,true_false,True,password security,easy,,1
Public Wi-Fi networks are always safe to use.,true_false,False,network security,easy,,1
Malware can only infect Windows computers.,true_false,False,malware,easy,,1
Encryption converts readable data into unreadable format.,true_false,True,encryption,easy,,1
Password managers are unsafe to use.,true_false,False,password security,easy,,1
Clicking on suspicious links is safe if you have antivirus.,true_false,False,phishing,easy,,1
Backing up data regularly protects against ransomware.,true_false,True,malware,easy,,1
All email attachments are safe to open.,true_false,False,phishing,easy,,1
Encryption keys should be shared publicly.,true_false,False,encryption,easy,,1
What is malware?,multiple_choice,Malicious software designed to harm computers,malware,easy,"Malicious software designed to harm computers,Software that improves performance,Legitimate security software,A type of firewall",1
What does HTTPS stand for?,multiple_choice,HyperText Transfer Protocol Secure,web security,easy,"HyperText Transfer Protocol Secure,HyperText Transfer Protocol Standard,HyperText Transfer Protocol System,HyperText Transfer Protocol Service",1
Antivirus software needs to be updated regularly.,true_false,True,malware,easy,,1
Which of the following is important for data protection?,multiple_choice,Regular backups,data security,easy,"Regular backups,Increasing storage size,File compression,Manual data sorting",2
Which of the following is a component of cybersecurity?,multiple_choice,Network security,general,easy,"Network security,Hardware manufacturing,Graphic design,Software licensing",2
Which of the following is essential for password security?,multiple_choice,Using complex and unique passwords,password security,easy,"Using complex and unique passwords,Changing usernames often,Writing passwords securely,Using familiar words",2
Which of the following is a best practice for cybersecurity?,multiple_choice,Regular security updates and patches,general,easy,"Regular security updates and patches,Installing optional features only,Using default configurations,Disabling notifications",2
What is the importance of regular security updates?,multiple_choice,To patch known vulnerabilities,vulnerabilities,easy,"To patch known vulnerabilities,To improve system speed,To add new features,To remove user accounts",2
Which of the following is a red flag in cybersecurity?,multiple_choice,Unexpected requests for sensitive information,phishing,easy,"Unexpected requests for sensitive information,Requests through official portals,Multi-step verification,Encrypted communication",2
What is the role of a firewall in network security?,multiple_choice,To filter and control network traffic,network security,easy,"To filter and control network traffic,To store encryption keys,To manage user passwords,To monitor file integrity",2
Which of the following is essential for secure authentication?,multiple_choice,Strong password policies,authentication,easy,"Strong password policies,Frequent username changes,Local account storage,Password reuse rules",2
Which of the following is important for secure password management?,multiple_choice,Using a password manager,password security,easy,"Using a password manager,Memorizing all passwords,Storing passwords in browsers only,Reusing complex passwords",2
What is the importance of security awareness?,multiple_choice,To help users recognize and avoid threats,security testing,easy,"To help users recognize and avoid threats,To eliminate all cyber attacks,To replace security software,To automate security policies",2
Which of the following is important for secure password creation?,multiple_choice,Using a mix of characters and sufficient length,password security,easy,"Using a mix of characters and sufficient length,Using memorable words only,Including personal details,Repeating patterns",2
Which of the following is a best practice for authentication?,multiple_choice,Using multi-factor authentication,authentication,easy,"Using multi-factor authentication,Using longer usernames,Changing login pages frequently,Allowing password hints",2
Which of the following helps prevent unauthorized access?,multiple_choice,Strong authentication mechanisms,authentication,easy,"Strong authentication mechanisms,Frequent account creation,User activity monitoring,Network performance tuning",2
Regular software updates help prevent security vulnerabilities.,true_false,True,vulnerabilities,easy,,2
Encryption makes data unreadable without the decryption key.,true_false,True,encryption,easy,,2
Using the same password for multiple accounts is recommended.,true_false,False,password security,easy,,2
Social engineering attacks are always technical in nature.,true_false,False,social engineering,easy,,2
Social media platforms are always safe for sharing personal information.,true_false,False,social engineering,easy,,2
All passwords should be changed daily.,true_false,False,password security,easy,,2
All network devices should have default passwords.,true_false,False,password security,easy,,2
All encryption keys should be stored in plain text.,true_false,False,encryption,easy,,2
Antivirus software provides 100% protection against all threats.,true_false,False,malware,easy,,2
Using public computers is safe for sensitive activities.,true_false,False,network security,easy,,2
What is malware?,multiple_choice,Malicious software designed to harm computers,malware,easy,"Malicious software designed to harm computers,Software that improves performance,Legitimate security software,A type of firewall",2
What does HTTPS stand for?,multiple_choice,HyperText Transfer Protocol Secure,web security,easy,"HyperText Transfer Protocol Secure,HyperText Transfer Protocol Standard,HyperText Transfer Protocol System,HyperText Transfer Protocol Service",2
What is a virus?,multiple_choice,A type of malware that replicates itself,malware,easy,"A type of malware that replicates itself,A computer hardware component,A network protocol,A security software",2
What is social engineering?,multiple_choice,Manipulating people to reveal confidential information,social engineering,easy,"Manipulating people to reveal confidential information,A type of encryption,A network attack,A software bug",2
What is a strong password?,multiple_choice,A password that is long and complex,password security,easy,"A password that is long and complex,A password that is easy to remember,A password with only letters,A password shared with friends",2
What is two-factor authentication?,multiple_choice,An authentication method requiring two forms of verification,authentication,easy,"An authentication method requiring two forms of verification,A single password,A username only,No authentication needed",2
Multi-factor authentication makes accounts more secure.,true_false,True,authentication,easy,,2
All phishing emails contain obvious spelling errors.,true_false,False,phishing,easy,,2
What is a secure website?,multiple_choice,A website that uses HTTPS encryption,web security,easy,"A website that uses HTTPS encryption,Any website with a password,A website with many users,A website that loads quickly",2
Which of the following is important for data privacy?,multiple_choice,Encryption and access controls,data security,easy,"Encryption and access controls,Open file sharing,Public data storage,Minimal authentication",4
Which of the following is a common sign of a phishing email?,multiple_choice,Urgent language requesting immediate action,phishing,medium,"Urgent language requesting immediate action,Use of official branding and logos,Clear contact information,Consistent sender domain",3
Which protocol provides secure communication over a network?,multiple_choice,HTTPS,network security,medium,"HTTPS,HTTP with authentication headers,FTP over trusted networks,TCP with checksum validation",3
